ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
ROSN,2,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.050848450690884735,-0.007234729541614259,0.9792064461064842,0.02,0.020962951571458076,0.9946590981686901,last
ROSN,3,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,0.18722663040074053,0.04005178091275459,0.9296251796603465,0.0125,0.021412101229862666,0.9946590981686901,last
ROSN,5,400,0.485,0.7421284715039852,0.4363980471740593,0.5338873320439311,0.08520823790196992,0.03833647179226538,0.8980194555106118,0.02,0.020224240244210243,0.9946590981686901,last
NVTK,1,400,0.5025,0.4800653490181035,0.4537104387832728,0.5512419980137288,-0.1509401198973484,-0.0005265942277833061,1.0027561353143764,0.0225,0.02476367662101599,0.9946590981686901,last
NVTK,2,400,0.4925,0.6368065424084397,0.4438103957369542,0.5413322938720411,0.030010473431761407,0.03340436651300161,0.9836302246359605,0.02,0.02303007157327177,0.9946590981686901,last
NVTK,3,400,0.505,0.4403944017904485,0.4561884685810796,0.5537164050129236,0.20857975504210072,0.0424759113991828,0.9547960907746402,0.0125,0.024248044376960633,0.9946590981686901,last
NVTK,5,400,0.4975,0.5596055982095516,0.44875800198627125,0.5462895612167272,0.004511766561139788,0.018066356414759687,1.0063175824236834,0.02,0.02372086249965637,0.9946590981686901,last
TATN,1,400,0.5125,0.326382298853335,0.463629805456242,0.5611323785287659,-0.2544671385992593,0.020594928144747195,1.0025005653886605,0.0225,0.020955165197107935,0.9946590981686901,last
TATN,2,400,0.4875,0.708812760232969,0.4388676214712341,0.536370194543758,-0.09158888782160485,0.00744220857851197,0.9756958321172307,0.02,0.021183050166269157,0.9946590981686901,last
TATN,3,400,0.5025,0.4800653490181035,0.4537104387832728,0.5512419980137288,0.1540221694067338,-0.020087990790699,0.9899964498288587,0.015,0.02231730483306468,0.9946590981686901,last
TATN,5,400,0.5275,0.1468540590808912,0.47854513130033327,0.5759316734666842,0.0588382046742154,0.0832769659723651,0.9763991325430896,0.02,0.020900876431665633,0.9946590981686901,last
GMKN,1,400,0.48,0.8023236229954712,0.43146252672290986,0.5289179789010773,-0.14837921370448062,-0.03197070084814433,1.1834388347052822,0.025,0.02104976138171574,0.9946590981686901,last
GMKN,2,400,0.445,0.9878360845980799,0.3970499227484684,0.4939964677174965,-0.018497252487436954,-0.03124823321360261,1.0399435079339905,0.02,0.020746968504225277,0.9946590981686901,last
GMKN,3,400,0.445,0.9878360845980799,0.3970499227484684,0.4939964677174965,0.016008271034870576,-0.05890153643513063,0.9975388739839302,0.015,0.02169187557032508,0.9946590981686901,last
GMKN,5,400,0.5,0.5199346509818965,0.4512336165999552,0.5487663834000448,0.07693068492830892,0.08587091593346377,0.9418948298384449,0.02,0.02002757157383902,0.9946590981686901,last
PLZL,1,400,0.45,0.979884630159681,0.40195136207927884,0.4989999019806892,-0.09486741720752448,-0.03163492725362042,0.9574166543563499,0.025,0.021961426243740936,0.9946590981686901,last
PLZL,2,400,0.4525,0.974479888435426,0.40440392129266217,0.5014997795643075,0.01296039052644656,-0.017063865307049852,1.0564516707436362,0.02,0.021485906150262628,0.9946590981686901,last
PLZL,3,400,0.5025,0.4800653490181035,0.4537104387832728,0.5512419980137288,0.03823399069567305,0.06692376755410696,1.00791572170452,0.0125,0.021695447260889157,0.9946590981686901,last
PLZL,5,400,0.505,0.4403944017904485,0.4561884685810796,0.5537164050129236,0.04967690023407432,0.039697289227076084,0.8678738510255493,0.02,0.021896743251010854,0.9946590981686901,last
MAGN,1,400,0.52,0.22664810827100504,0.4710820210989227,0.5685374732770901,0.0707221843773814,0.09229625645302296,0.9877303465379503,0.0225,0.021996326427741807,0.9946590981686901,last
MAGN,2,400,0.53,0.12505616143816317,0.48103525950149856,0.5783939820625206,-0.07149749043408367,-0.009131742373642102,1.0481723680991608,0.02,0.022518384338649874,0.9946590981686901,last
MAGN,3,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,0.13506896905509255,0.03236760251020823,1.0400046067798963,0.0125,0.02190858900913279,0.9946590981686901,last
MAGN,5,400,0.5,0.5199346509818965,0.4512336165999552,0.5487663834000448,0.01305727372606949,0.010512964113561946,0.9915397050290484,0.02,0.022402965896400832,0.9946590981686901,last
NLMK,1,400,0.5,0.5199346509818965,0.4512336165999552,0.5487663834000448,0.0534225643111249,0.08512842802668963,1.029675449358864,0.0225,0.021837706623861156,0.9946590981686901,last
NLMK,2,400,0.47,0.8943768699508731,0.42160601793747937,0.5189647404985014,-0.04204885948716188,-0.032463871613076206,1.0029760807758756,0.02,0.023177541661376165,0.9946590981686901,last
NLMK,3,400,0.4375,0.9946590981686902,0.3897069912730114,0.4864820888019487,0.10510122580748918,-0.0331187827223774,0.9714163970990621,0.0125,0.023349855180548874,0.9946590981686901,last
NLMK,5,400,0.5,0.5199346509818965,0.4512336165999552,0.5487663834000448,0.01973250090178407,0.06354412509857439,0.9139443511989502,0.02,0.022510688881700252,0.9946590981686901,last
MOEX,1,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,0.0665540092314209,0.0221186451546782,0.9961021658510577,0.0225,0.01818728567838313,0.9946590981686901,last
MOEX,2,400,0.4575,0.9600057728712897,0.40931270985864554,0.5064958645923273,-0.03121446876939497,-0.0446973377416478,0.998826106182251,0.02,0.01942266327322423,0.9946590981686901,last
MOEX,3,400,0.4625,0.9394835815769504,0.4142263811170028,0.5114870669279734,0.05939144120335174,-0.046109305010467144,1.04880977255992,0.0125,0.019580229700422364,0.9946590981686901,last
MOEX,5,400,0.5125,0.326382298853335,0.463629805456242,0.5611323785287659,0.06439329550711419,0.05272507835009087,0.9802997960913447,0.02,0.01896325572026973,0.9946590981686901,last
VTBR,1,400,0.4625,0.9394835815769504,0.4142263811170028,0.5114870669279734,-0.03272390006136718,-0.07524898794835094,0.9999999996779225,0.025,0.023630732105046685,0.9946590981686901,last
VTBR,2,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,0.028822972655814124,-0.04065553619473652,1.0210891827240416,0.0225,0.024274818014839133,0.9946590981686901,last
VTBR,3,400,0.4475,0.9842866822427847,0.39950002860195316,0.4964987986610134,0.1381099251341704,-0.10354859253625778,0.9325036176019768,0.0175,0.024947026154018545,0.9946590981686901,last
VTBR,5,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,0.015322787155375234,0.006142115495775806,0.9292569285331509,0.02,0.024266315052228392,0.9946590981686901,last
SBER,1,400,0.4925,0.6368065424084397,0.4438103957369542,0.5413322938720411,-0.09232720700327604,-0.06851718433299477,0.5629230232942338,0.01,0.014770743368866902,0.9393057049703079,momentum5
SBER,2,400,0.5475,0.03208941089792265,0.4985002204356925,0.5955960787073378,0.12818025662390065,0.15903902180911617,0.504147322762621,0.01,0.012794599766208807,0.3850729307750718,momentum5
SBER,3,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,0.15706479558589762,-0.013798182996890005,0.4669603276137698,0.0075,0.015003059093418829,0.9393057049703079,momentum5
SBER,5,400,0.485,0.7421284715039852,0.4363980471740593,0.5338873320439311,0.058327767928413904,0.061380611160021414,0.56246159696414,0.0075,0.013768302047528009,0.9393057049703079,momentum5
GAZP,1,400,0.49,0.6736177011466651,0.4413384044602659,0.5388518483517277,-0.015653568071087618,0.02932393149015598,0.496995098038298,0.01,0.016929014594002065,0.9393057049703079,momentum5
GAZP,2,400,0.485,0.7421284715039852,0.4363980471740593,0.5338873320439311,0.013009420678184386,0.05656118401486603,0.48396848038418117,0.01,0.015939820022718362,0.9393057049703079,momentum5
