ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
GAZP,5,40,0.35,0.9807613458578999,0.2213433317104915,0.5049440300646263,0.05473150649622619,-0.06474313927602639,0.8480766862439855,0.0,0.016942143713814705,0.9996602258725034,last
LKOH,1,40,0.4,0.923070027918584,0.2634811061240136,0.5540438017260649,-0.10341282185396873,-0.18847037874291686,0.6474755640513341,0.0,0.01406067336496405,0.9996602258725034,last
LKOH,2,40,0.475,0.6820859986855794,0.32935229550181694,0.6250289314607027,-0.19394145356115353,-0.07797325904112742,0.5674895856832451,0.0,0.014827807841230705,0.9996602258725034,last
LKOH,3,40,0.575,0.21479525392169307,0.42194800436059987,0.7149083147518411,0.07782988292145841,0.037337586231797365,0.8565177739926657,0.0,0.013861926427119378,0.9996602258725034,last
LKOH,5,40,0.4,0.923070027918584,0.2634811061240136,0.5540438017260649,0.03393302305629441,0.07543983185206551,1.0671553954291157,0.0,0.012847699351654243,0.9996602258725034,last
ROSN,1,40,0.525,0.43731465619021037,0.37497106853929735,0.6706477044981831,0.16055372707145807,0.16026272736732328,1.1109312743210946,0.0,0.009589898939248559,0.9996602258725034,last
ROSN,2,40,0.325,0.9917054983125126,0.20084316962661725,0.4798254191110201,-0.43930363790105864,-0.369125457917389,1.3434490860019812,0.025,0.013130901887403013,0.9996602258725034,last
ROSN,3,40,0.4,0.923070027918584,0.2634811061240136,0.5540438017260649,0.22178734022601881,0.13105680393422342,0.766602314380969,0.0,0.01051711368168482,0.9996602258725034,last
ROSN,5,40,0.375,0.9596547661240038,0.2422277353579172,0.529678399454681,-0.3460047899345203,-0.3228712206504446,1.0340874996242952,0.0,0.01333460646981951,0.9996602258725034,last
NVTK,1,40,0.35,0.9807613458578999,0.2213433317104915,0.5049440300646263,-0.416077226836675,-0.487827759812428,0.9233787505941203,0.0,0.019954581037914223,0.9996602258725034,last
NVTK,2,40,0.55,0.3179140013144206,0.39828829888440775,0.6929492471905531,-0.2277005750783798,0.1414027694043069,1.6480713739284045,0.0,0.012858789321601522,0.9996602258725034,last
NVTK,3,40,0.525,0.43731465619021037,0.37497106853929735,0.6706477044981831,0.32395361981656,0.180308645069132,0.866433196508543,0.0,0.014374389556082718,0.9996602258725034,last
NVTK,5,40,0.55,0.3179140013144206,0.39828829888440775,0.6929492471905531,-0.20028700475419728,-0.021487215788710205,1.2473524286421207,0.0,0.013769907126561804,0.9996602258725034,last
TATN,1,40,0.425,0.8659063744726154,0.28509168524815875,0.5780519956394001,0.09844653545710164,0.07111027729573469,0.8653724337125361,0.0,0.01278121843759227,0.9996602258725034,last
TATN,2,40,0.375,0.9596547661240038,0.2422277353579172,0.529678399454681,-0.3143301919124445,-0.3128313425308289,1.0698066403581428,0.0,0.014322856024189593,0.9996602258725034,last
TATN,3,40,0.4,0.923070027918584,0.2634811061240136,0.5540438017260649,0.0562644361445421,-0.007129790335720101,0.7762541631459072,0.0,0.013493074729653628,0.9996602258725034,last
TATN,5,40,0.45,0.7852047460783069,0.30705075280944694,0.6017117011155924,-0.07778616457446978,0.06821487283140751,1.3512364345250338,0.0,0.012391529595998943,0.9996602258725034,last
