ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
LKOH,1,500,0.512,0.3114047159898812,0.4682614535997027,0.5555555555555556,-0.06765605709928509,-0.04041921874949514,1.3317187610685586,0.038,0.005842680660907138,0.9744984477628461,last
LKOH,2,500,0.534,0.0699592627814865,0.4901815185143591,0.5773000074255396,0.06290472871172756,0.06200429834364406,1.4181759666047642,0.038,0.005438801383027148,0.9744984477628461,last
LKOH,3,500,0.504,0.44664512189130445,0.4603113571655595,0.5476276458861933,-0.04511142986560986,0.04246002347428232,1.6080896715985147,0.038,0.005555958403694778,0.9744984477628461,last
LKOH,5,500,0.48,0.826167910343493,0.43652763662029404,0.523777348120942,0.006309284979575873,-0.005742113474638586,1.4931015997717962,0.018,0.005546495633522303,0.9911554664990548,last
ROSN,1,500,0.496,0.5884545458772403,0.4523723541138067,0.5396886428344405,-0.059142859626711085,-0.04682456776593312,1.4325796204737287,0.04,0.006631420724908833,0.9911554664990548,last
ROSN,2,500,0.482,0.8022446142825708,0.43850579699662956,0.5257686892704829,-0.00966975988066558,-0.016058221188485176,1.5200559306567962,0.038,0.006471648478484901,0.9911554664990548,last
ROSN,3,500,0.524,0.1518336564970393,0.4802074191766619,0.5674265991338547,-0.0043622045338829385,0.05333067369662284,1.3730444755347273,0.038,0.006460902689002228,0.9744984477628461,last
ROSN,5,500,0.506,0.4115454541227596,0.46229784108368,0.5496106634939493,0.013925175634168216,-0.0038682121582333507,1.3312927929896636,0.018,0.006766998446198947,0.9744984477628461,last
NVTK,1,500,0.494,0.6228605443222957,0.4503893365060508,0.5377021589163201,-0.025691658651564014,-0.015484626530325927,1.6088390352543713,0.038,0.00790840496195869,0.9911554664990548,last
NVTK,2,500,0.522,0.17383208965650696,0.4782146879120214,0.565449828872619,0.0139148555648735,0.0029787142423769648,1.6138999232689708,0.038,0.007718373836566316,0.9744984477628461,last
NVTK,3,500,0.472,0.9026958456960592,0.4286219475993197,0.5158050310384108,-0.022486063339179737,-0.028661663821252185,1.616837440937533,0.038,0.008148487518713764,0.9911554664990548,last
